city,house,subj_cod,age,student,worker,none,id_place,susc,latent,inf,recov,lat_day,inf_day,imm,day_recov
Ukunda,U1,U1_1,29,0,1,0,U38_w,1,0,0,0,0,0,0,0
Ukunda,U1,U1_2,1,0,0,1,U1,1,0,0,0,0,0,0,0
Ukunda,U1,U1_3,60,0,1,0,U96_w,1,0,0,0,0,0,0,0
Ukunda,U1,U1_4,35,0,1,0,U238_w,1,0,0,0,0,0,0,0
Ukunda,U1,U1_5,32,0,1,0,U301_w,1,0,0,0,0,0,0,0
Ukunda,U1,U1_6,44,0,1,0,U4_w,1,0,0,0,0,0,0,0
Ukunda,U1,U1_7,47,0,0,1,U1,1,0,0,0,0,0,0,0
Ukunda,U1,U1_8,24,0,1,0,U347_w,1,0,0,0,0,0,0,0
Ukunda,U1,U1_9,15,0,1,0,U341_w,1,0,0,0,0,0,0,0
Ukunda,U1,U1_10,26,0,0,1,U1,1,0,0,0,0,0,0,0
Ukunda,U1,U1_11,17,0,1,0,U219_w,1,0,0,0,0,0,0,0
Ukunda,U2,U2_1,47,0,1,0,U284_w,1,0,0,0,0,0,0,0
Ukunda,U2,U2_2,54,0,1,0,U195_w,1,0,0,0,0,0,0,0
Ukunda,U2,U2_3,35,0,1,0,U13_w,1,0,0,0,0,0,0,0
Ukunda,U2,U2_4,1,0,0,1,U2,1,0,0,0,0,0,0,0
Ukunda,U2,U2_5,6,1,0,0,U13_s,1,0,0,0,0,0,0,0
Ukunda,U2,U2_6,27,0,1,0,U52_w,1,0,0,0,0,0,0,0
Ukunda,U2,U2_7,42,0,1,0,U22_w,1,0,0,0,0,0,0,0
Ukunda,U2,U2_8,36,0,1,0,U368_w,1,0,0,0,0,0,0,0
Ukunda,U2,U2_9,9,1,0,0,U12_s,1,0,0,0,0,0,0,0
Ukunda,U2,U2_10,13,1,0,0,U3_s,1,0,0,0,0,0,0,0
Ukunda,U2,U2_11,34,0,1,0,U309_w,1,0,0,0,0,0,0,0
Ukunda,U3,U3_1,30,0,1,0,U79_w,1,0,0,0,0,0,0,0
Ukunda,U3,U3_2,38,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_3,31,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_4,24,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_5,3,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_6,41,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_7,24,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_8,45,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_9,31,0,1,0,U230_w,1,0,0,0,0,0,0,0
Ukunda,U3,U3_10,41,0,0,1,U3,1,0,0,0,0,0,0,0
Ukunda,U3,U3_11,6,1,0,0,U9_s,1,0,0,0,0,0,0,0
Ukunda,U4,U4_1,7,1,0,0,U11_s,1,0,0,0,0,0,0,0
Ukunda,U4,U4_2,43,0,0,1,U4,1,0,0,0,0,0,0,0
Ukunda,U4,U4_3,13,1,0,0,U13_s,1,0,0,0,0,0,0,0
Ukunda,U5,U5_1,0,0,0,1,U5,1,0,0,0,0,0,0,0
Ukunda,U5,U5_2,18,0,1,0,U66_w,1,0,0,0,0,0,0,0
Ukunda,U5,U5_3,33,0,0,1,U5,1,0,0,0,0,0,0,0
Ukunda,U5,U5_4,27,0,1,0,U107_w,1,0,0,0,0,0,0,0
Ukunda,U5,U5_5,51,0,1,0,U106_w,1,0,0,0,0,0,0,0
Ukunda,U5,U5_6,62,0,1,0,U306_w,1,0,0,0,0,0,0,0
Ukunda,U5,U5_7,17,1,0,0,U14_s,1,0,0,0,0,0,0,0
Ukunda,U5,U5_8,11,1,0,0,U4_s,1,0,0,0,0,0,0,0
Ukunda,U6,U6_1,5,1,0,0,U11_s,1,0,0,0,0,0,0,0
Ukunda,U6,U6_2,23,0,0,1,U6,1,0,0,0,0,0,0,0
Ukunda,U6,U6_3,13,1,0,0,U8_s,1,0,0,0,0,0,0,0
Ukunda,U6,U6_4,44,0,1,0,U6_w,1,0,0,0,0,0,0,0
Ukunda,U6,U6_5,39,0,1,0,U114_w,1,0,0,0,0,0,0,0
Ukunda,U6,U6_6,35,0,1,0,U53_w,1,0,0,0,0,0,0,0
Ukunda,U6,U6_7,52,0,1,0,U74_w,1,0,0,0,0,0,0,0
Ukunda,U7,U7_1,32,0,0,1,U7,1,0,0,0,0,0,0,0
Ukunda,U7,U7_2,2,0,0,1,U7,1,0,0,0,0,0,0,0
Ukunda,U7,U7_3,2,0,0,1,U7,1,0,0,0,0,0,0,0
Ukunda,U7,U7_4,28,0,1,0,U327_w,1,0,0,0,0,0,0,0
Ukunda,U7,U7_5,33,0,0,1,U7,1,0,0,0,0,0,0,0
Ukunda,U7,U7_6,14,1,0,0,U13_s,1,0,0,0,0,0,0,0
Ukunda,U7,U7_7,29,0,1,0,U69_w,1,0,0,0,0,0,0,0
Ukunda,U8,U8_1,1,0,0,1,U8,1,0,0,0,0,0,0,0
Ukunda,U8,U8_2,9,1,0,0,U7_s,1,0,0,0,0,0,0,0
Ukunda,U8,U8_3,11,1,0,0,U14_s,1,0,0,0,0,0,0,0
Ukunda,U8,U8_4,20,0,1,0,U152_w,1,0,0,0,0,0,0,0
Ukunda,U8,U8_5,2,0,0,1,U8,1,0,0,0,0,0,0,0
Ukunda,U8,U8_6,20,0,1,0,U296_w,1,0,0,0,0,0,0,0
Ukunda,U8,U8_7,2,0,0,1,U8,1,0,0,0,0,0,0,0
Ukunda,U9,U9_1,42,0,0,1,U9,1,0,0,0,0,0,0,0
Ukunda,U9,U9_2,22,0,1,0,U297_w,1,0,0,0,0,0,0,0
Ukunda,U9,U9_3,25,0,1,0,U141_w,1,0,0,0,0,0,0,0
Ukunda,U9,U9_4,30,0,0,1,U9,1,0,0,0,0,0,0,0
Ukunda,U9,U9_5,14,1,0,0,U2_s,1,0,0,0,0,0,0,0
Ukunda,U9,U9_6,14,1,0,0,U13_s,1,0,0,0,0,0,0,0
Ukunda,U9,U9_7,5,0,0,1,U9,1,0,0,0,0,0,0,0
Ukunda,U10,U10_1,34,0,1,0,U362_w,1,0,0,0,0,0,0,0
Ukunda,U10,U10_2,34,0,1,0,U179_w,1,0,0,0,0,0,0,0
Ukunda,U10,U10_3,9,1,0,0,U6_s,1,0,0,0,0,0,0,0
Ukunda,U10,U10_4,18,0,1,0,U39_w,1,0,0,0,0,0,0,0
Ukunda,U10,U10_5,15,1,0,0,U13_s,1,0,0,0,0,0,0,0
Ukunda,U10,U10_6,10,1,0,0,U3_s,1,0,0,0,0,0,0,0
Ukunda,U10,U10_7,14,1,0,0,U10_s,1,0,0,0,0,0,0,0
Ukunda,U10,U10_8,21,0,0,1,U10,1,0,0,0,0,0,0,0
Ukunda,U10,U10_9,9,1,0,0,U8_s,1,0,0,0,0,0,0,0
Ukunda,U11,U11_1,28,0,0,1,U11,1,0,0,0,0,0,0,0
Ukunda,U11,U11_2,26,0,1,0,U154_w,1,0,0,0,0,0,0,0
Ukunda,U11,U11_3,25,0,1,0,U5_w,1,0,0,0,0,0,0,0
Ukunda,U11,U11_4,23,0,0,1,U11,1,0,0,0,0,0,0,0
Ukunda,U12,U12_1,26,0,1,0,U189_w,1,0,0,0,0,0,0,0
Ukunda,U12,U12_2,16,1,0,0,U5_s,1,0,0,0,0,0,0,0
Ukunda,U12,U12_3,27,0,0,1,U12,1,0,0,0,0,0,0,0
Ukunda,U12,U12_4,25,0,1,0,U202_w,1,0,0,0,0,0,0,0
Ukunda,U12,U12_5,24,0,1,0,U32_w,1,0,0,0,0,0,0,0
Ukunda,U12,U12_6,38,0,0,1,U12,1,0,0,0,0,0,0,0
Ukunda,U12,U12_7,28,0,0,1,U12,1,0,0,0,0,0,0,0
Ukunda,U12,U12_8,32,0,1,0,U392_w,1,0,0,0,0,0,0,0
Ukunda,U13,U13_1,33,0,0,1,U13,1,0,0,0,0,0,0,0
Ukunda,U13,U13_2,5,0,0,1,U13,1,0,0,0,0,0,0,0
Ukunda,U13,U13_3,2,0,0,1,U13,1,0,0,0,0,0,0,0
Ukunda,U13,U13_4,25,0,1,0,U171_w,1,0,0,0,0,0,0,0
Ukunda,U13,U13_5,11,1,0,0,U8_s,1,0,0,0,0,0,0,0
Ukunda,U13,U13_6,18,0,0,1,U13,1,0,0,0,0,0,0,0
Ukunda,U13,U13_7,4,1,0,0,U7_s,1,0,0,0,0,0,0,0
Ukunda,U14,U14_1,0,0,0,1,U14,1,0,0,0,0,0,0,0
Ukunda,U14,U14_2,7,1,0,0,U1_s,1,0,0,0,0,0,0,0
Ukunda,U14,U14_3,22,0,0,1,U14,1,0,0,0,0,0,0,0
Ukunda,U14,U14_4,1,0,0,1,U14,1,0,0,0,0,0,0,0
Ukunda,U14,U14_5,17,0,1,0,U332_w,1,0,0,0,0,0,0,0
Ukunda,U15,U15_1,0,0,0,1,U15,1,0,0,0,0,0,0,0
Ukunda,U15,U15_2,36,0,1,0,U309_w,1,0,0,0,0,0,0,0
Ukunda,U15,U15_3,25,0,1,0,U245_w,1,0,0,0,0,0,0,0
Ukunda,U15,U15_4,8,1,0,0,U13_s,1,0,0,0,0,0,0,0
Ukunda,U15,U15_5,13,1,0,0,U3_s,1,0,0,0,0,0,0,0
Ukunda,U15,U15_6,27,0,0,1,U15,1,0,0,0,0,0,0,0
Ukunda,U15,U15_7,21,0,1,0,U256_w,1,0,0,0,0,0,0,0
Ukunda,U15,U15_8,54,0,1,0,U143_w,1,0,0,0,0,0,0,0
Ukunda,U16,U16_1,0,0,0,1,U16,1,0,0,0,0,0,0,0
Ukunda,U16,U16_2,25,0,0,1,U16,1,0,0,0,0,0,0,0
Ukunda,U16,U16_3,4,0,0,1,U16,1,0,0,0,0,0,0,0
Ukunda,U16,U16_4,5,0,0,1,U16,1,0,0,0,0,0,0,0
Ukunda,U16,U16_5,23,0,0,1,U16,1,0,0,0,0,0,0,0
Ukunda,U17,U17_1,7,1,0,0,U12_s,1,0,0,0,0,0,0,0
Ukunda,U17,U17_2,50,0,1,0,U135_w,1,0,0,0,0,0,0,0
Ukunda,U17,U17_3,10,1,0,0,U1_s,1,0,0,0,0,0,0,0
Ukunda,U17,U17_4,41,0,1,0,U197_w,1,0,0,0,0,0,0,0
Ukunda,U17,U17_5,43,0,1,0,U365_w,1,0,0,0,0,0,0,0
Ukunda,U17,U17_6,45,0,1,0,U308_w,1,0,0,0,0,0,0,0
Ukunda,U18,U18_1,2,0,0,1,U18,1,0,0,0,0,0,0,0
Ukunda,U18,U18_2,14,1,0,0,U4_s,1,0,0,0,0,0,0,0
Ukunda,U18,U18_3,31,0,0,1,U18,1,0,0,0,0,0,0,0
Ukunda,U18,U18_4,1,0,0,1,U18,1,0,0,0,0,0,0,0
Ukunda,U18,U18_5,6,1,0,0,U4_s,1,0,0,0,0,0,0,0
Ukunda,U18,U18_6,34,0,1,0,U344_w,1,0,0,0,0,0,0,0
